RCS0001	Add blank line after embedded statement
RCS0002	Add blank line after #region
RCS0003	Add blank line after using directive list
RCS0005	Add blank line before #endregion
RCS0006	Add blank line before using directive list
RCS0007	Add blank line between accessors
RCS0008	Add blank line between closing brace and next statement
RCS0009	Add blank line between declaration and documentation comment
RCS0010	Add blank line between declarations
RCS0011	Add/remove blank line between single-line accessors
RCS0012	Add blank line between single-line declarations
RCS0013	Add blank line between single-line declarations of different kind
RCS0015	Add/remove blank line between using directives
RCS0016	Put attribute list on its own line
RCS0020	Format accessor's braces on a single line or multiple lines
RCS0021	Format block's braces on a single line or multiple lines
RCS0023	Format type declaration's braces
RCS0024	Add new line after switch label
RCS0025	Put full accessor on its own line
RCS0027	Place new line after/before binary operator
RCS0028	Place new line after/before '?:' operator
RCS0029	Put constructor initializer on its own line
RCS0030	Put embedded statement on its own line
RCS0031	Put enum member on its own line
RCS0032	Place new line after/before arrow token
RCS0033	Put statement on its own line
RCS0034	Put type parameter constraint on its own line
RCS0036	Remove blank line between single-line declarations of same kind
RCS0039	Remove new line before base list
RCS0041	Remove new line between 'if' keyword and 'else' keyword
RCS0042	Put auto-accessors on a single line
RCS0044	Use carriage return + linefeed as new line
RCS0045	Use linefeed as new line
RCS0046	Use spaces instead of tab
RCS0048	Put initializer on a single line
RCS0049	Add blank line after top comment
RCS0050	Add blank line before top declaration
RCS0051	Add/remove new line before 'while' in 'do' statement
RCS0052	Place new line after/before equals token
RCS0053	Fix formatting of a list
RCS0054	Fix formatting of a call chain
RCS0055	Fix formatting of a binary expression chain
RCS0056	A line is too long
RCS0057	Normalize whitespace at the beginning of a file
RCS0058	Normalize whitespace at the end of a file
RCS0059	Place new line after/before null-conditional operator
RCS0060	Add/remove line after file scoped namespace declaration
RCS0061	Add/remove blank line between switch sections
RCS0062	Put expression body on its own line
RCS0063	Remove unnecessary blank line
RCS1001	Add braces (when expression spans over multiple lines)
RCS1002	Remove braces
RCS1003	Add braces to if-else (when expression spans over multiple lines)
RCS1004	Remove braces from if-else
RCS1005	Simplify nested using statement
RCS1006	Merge 'else' with nested 'if'
RCS1007	Add braces
RCS1013	Use predefined type
RCS1014	Use explicitly/implicitly typed array
RCS1015	Use nameof operator
RCS1016	Use block body or expression body
RCS1018	Add/remove accessibility modifiers
RCS1019	Order modifiers
RCS1020	Simplify Nullable<T> to T?
RCS1021	Convert lambda expression body to expression body
RCS1031	Remove unnecessary braces in switch section
RCS1032	Remove redundant parentheses
RCS1033	Remove redundant boolean literal
RCS1034	Remove redundant 'sealed' modifier
RCS1037	Remove trailing white-space
RCS1039	Remove argument list from attribute
RCS1042	Remove enum default underlying type
RCS1043	Remove 'partial' modifier from type with a single part
RCS1044	Remove original exception from throw statement
RCS1046	Asynchronous method name should end with 'Async'
RCS1047	Non-asynchronous method name should not end with 'Async'
RCS1048	Use lambda expression instead of anonymous method
RCS1049	Simplify boolean comparison
RCS1050	Include/omit parentheses when creating new object
RCS1051	Add/remove parentheses from condition in conditional operator
RCS1052	Declare each attribute separately
RCS1055	Unnecessary semicolon at the end of declaration
RCS1056	Avoid usage of using alias directive
RCS1058	Use compound assignment
RCS1059	Avoid locking on publicly accessible instance
RCS1060	Declare each type in separate file
RCS1061	Merge 'if' with nested 'if'
RCS1068	Simplify logical negation
RCS1069	Remove unnecessary case label
RCS1070	Remove redundant default switch section
RCS1071	Remove redundant base constructor call
RCS1073	Convert 'if' to 'return' statement
RCS1074	Remove redundant constructor
RCS1075	Avoid empty catch clause that catches System.Exception
RCS1077	Optimize LINQ method call
RCS1078	Use "" or 'string.Empty'
RCS1079	Throwing of new NotImplementedException
RCS1080	Use 'Count/Length' property instead of 'Any' method
RCS1081	Split variable declaration
